Date,Expiry Date,Strike Price (K),Call Price,Put Price
19-Dec-14,24-Dec-14,6000,2240.15,0.35
22-Dec-14,24-Dec-14,6000,2333.8,0.55
23-Dec-14,24-Dec-14,6000,2268.25,0.35
24-Dec-14,24-Dec-14,6000,0,0
01-Jan-14,24-Dec-14,7000,440.05,634.75
02-Jan-14,24-Dec-14,7000,409.8,714.2
03-Jan-14,24-Dec-14,7000,403.8,713.5
06-Jan-14,24-Dec-14,7000,386.75,732
07-Jan-14,24-Dec-14,7000,372.2,738
08-Jan-14,24-Dec-14,7000,369.1,746
09-Jan-14,24-Dec-14,7000,360.5,747.7
10-Jan-14,24-Dec-14,7000,361.15,755
13-Jan-14,24-Dec-14,7000,396.8,709.35
14-Jan-14,24-Dec-14,7000,394.8,721.5
15-Jan-14,24-Dec-14,7000,423.4,688.1
16-Jan-14,24-Dec-14,7000,421.25,689.85
17-Jan-14,24-Dec-14,7000,402.2,717
20-Jan-14,24-Dec-14,7000,410.4,699
21-Jan-14,24-Dec-14,7000,412,690
22-Jan-14,24-Dec-14,7000,428,669
23-Jan-14,24-Dec-14,7000,432.9,673
24-Jan-14,24-Dec-14,7000,406,713.55
27-Jan-14,24-Dec-14,7000,357.6,796.9
28-Jan-14,24-Dec-14,7000,346.75,795
29-Jan-14,24-Dec-14,7000,356,830.8
30-Jan-14,24-Dec-14,7000,323.4,845.5
31-Jan-14,24-Dec-14,7000,327,840.1
03-Feb-14,24-Dec-14,7000,308.5,898.55
04-Feb-14,24-Dec-14,7000,305.1,891
05-Feb-14,24-Dec-14,7000,305,884
06-Feb-14,24-Dec-14,7000,304.4,880.2
07-Feb-14,24-Dec-14,7000,310.5,865
10-Feb-14,24-Dec-14,7000,310.5,874
11-Feb-14,24-Dec-14,7000,305.45,863
12-Feb-14,24-Dec-14,7000,310,842
13-Feb-14,24-Dec-14,7000,283.6,904.35
14-Feb-14,24-Dec-14,7000,292,858.2
17-Feb-14,24-Dec-14,7000,290.6,830
18-Feb-14,24-Dec-14,7000,311,809.9
19-Feb-14,24-Dec-14,7000,310.85,795.15
